Customer	City	Channel	Segment	Urbanicity	Traffic	Traffic Index	Equipment (Y/N)	# of doors	Sales 2025 CS
10173	опхлнпяйн	Hotels	Residential	3	20707,53	Medium	Yes	1	0
10174	опхлнпяйн	Hotels	Seasonal Low/Mid Traffic	3	16335	Medium	Yes	3	27,5
10175	опхлнпяйн	Hotels	Residential	3	20615,04	Medium	Yes	2	0
10176	кнгемеж	Hotels	Seasonal Low/Mid Traffic	7	10673,79	Medium	Yes	2	54
10177	янгнонк	Hotels	Residential	4	28627,76	High	Yes	1	44
10178	янгнонк	FSR	Residential	4	32781,64	High	Yes	1	0
10179	жюпебн	Hotels	Seasonal Low/Mid Traffic	5	10600,89	Medium	Yes	2,1	0
10180	яберх бкюя	Hotels	Seasonal Low/Mid Traffic	3	18529,1	Medium	Yes	1	0
10181	якзмвеб апъц	Hotels	Seasonal Low/Mid Traffic	1	18732	Medium	Yes	3,6	143
10182	яберх бкюя	FSR	Seasonal Low/Mid Traffic	4	12100,25	Medium	Yes	1	32
10183	якзмвеб апъц	Hotels	Seasonal High Traffic	2	16330,95	Medium	No	0	192
10184	ахкйю	Cafe	Rural Affordable	9	642,65	Low	No	0	37
10185	йхрем	Qsr	Seasonal Low/Mid Traffic	3	19501	Medium	Yes	1	12
10186	ьйнпохкнбжх	Qsr	Seasonal Low/Mid Traffic	7	1381,45	Low	Yes	1	276
10187	йхрем	Cafe	Seasonal Low/Mid Traffic	3	12201,57	Medium	Yes	3	64,5
10188	аъкю	Cafe	Seasonal Low/Mid Traffic	4	875,89	Low	Yes	1	24
10189	юуекни	Cafe	Rural Affordable	6	11356,1	Medium	Yes	2	0
10190	кнгемеж	Hotels	Seasonal Low/Mid Traffic	7	8351,95	Low	No	0	28,46
10191	янгнонк	Hotels	Residential	4	28627,76	High	Yes	1	0
10192	меяеазп	Hotels	Seasonal High Traffic	4	13392,44	Medium	Yes	1	0
10193	юурнонк	Qsr	Rural Affordable	5	7176,67	Low	Yes	1,5	219
10194	онлнпхе	Hotels	Residential	5	21222,37	Medium	Yes	1	21
10195	якзмвеб апъц	Cafe	Residential	5	25003,32	Medium	Yes	1	26,5
10196	онлнпхе	Hotels	Residential	5	17740,25	Medium	No	0	0
10197	кнгемеж	Hotels	Seasonal Low/Mid Traffic	7	12666,04	Medium	Yes	1	0
10198	йхрем	Cafe	Seasonal Low/Mid Traffic	3	19501	Medium	Yes	1	0
10199	якзмвеб апъц	FSR	Seasonal High Traffic	1	18885,83	Medium	Yes	1,3	387
10200	янгнонк	Hotels	Residential	5	8027,13	Low	No	0	67
10201	якзмвеб апъц	Supermarket	Seasonal High Traffic	2	28817,5	High	Yes	5	403
10202	опхлнпяйн	Hotels	Residential	3	19462,44	Medium	Yes	1	18
10203	кнгемеж	FSR	Seasonal Low/Mid Traffic	7	12666,04	Medium	Yes	1	285
10204	якзмвеб апъц	FSR	Seasonal High Traffic	2	16290,75	Medium	Yes	1,3	0
10205	якзмвеб апъц	FSR	Seasonal High Traffic	1	54021,63	High	Yes	2	150
10206	вепмнлнпеж	FSR	Residential	5	13617,66	Medium	Yes	1	10
10207	вепмнлнпеж	Hotels	Residential	5	17557,47	Medium	Yes	3,3	0
10208	жюпебн	Supermarket	Seasonal Low/Mid Traffic	9	7103,75	Low	Yes	2	760
10209	якзмвеб апъц	FSR	Seasonal High Traffic	1	46251,86	High	No	0	0
10210	аспцюя	FSR	Residential	4	11311,64	Medium	Yes	1	36
10211	яберх бкюя	FSR	Seasonal Low/Mid Traffic	3	6668,75	Low	Yes	1	0
10212	бекхйю	Hotels	Seasonal Low/Mid Traffic	8	591,76	Low	Yes	2	0
10213	янкмхй	Hotels	Residential	10	10,54	Low	No	0	0
10214	пегнбн	Supermarket	Rural Affordable	10	271,2	Low	Yes	2	262,17
10215	яберх бкюя	FSR	Seasonal Low/Mid Traffic	3	16958,59	Medium	Yes	2	321
10216	опхлнпяйн	FSR	Seasonal Low/Mid Traffic	3	20584,76	Medium	Yes	5	486
10217	янгнонк	Hotels	Residential	4	28627,76	High	Yes	1	0
10218	меяеазп	Hotels	Residential	2	13161,44	Medium	Yes	4	56
10219	опхлнпяйн	FSR	Residential	3	23772,82	Medium	No	0	15
10220	йхрем	Qsr	Seasonal Low/Mid Traffic	3	17437,47	Medium	Yes	0	47,67
10221	янгнонк	FSR	Residential	4	37032,2	High	Yes	1	0
10222	якзмвеб апъц	FSR	Seasonal High Traffic	1	31437	High	Yes	4	248
10223	йхрем	FSR	Seasonal Low/Mid Traffic	3	17437,47	Medium	Yes	2	0
10224	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	30608,5	High	Yes	4	1384,292
10225	йхрем	Supermarket	Seasonal Low/Mid Traffic	3	9124,28	Low	Yes	2,5	278,5
10226	якзмвеб апъц	Bar	Seasonal High Traffic	1	36224	High	Yes	1,5	298,5
10227	меяеазп	Hotels	Seasonal Low/Mid Traffic	4	11225,83	Medium	Yes	1	76
10228	якзмвеб апъц	Bar	Seasonal High Traffic	1	28673,56	High	Yes	2	0
10229	кнгемеж	Hotels	Seasonal Low/Mid Traffic	7	11329,43	Medium	Yes	1	0
10230	кнгемеж	Hotels	Seasonal Low/Mid Traffic	7	11726,5	Medium	Yes	1	78,084
10231	янгнонк	FSR	Residential	4	32781,64	High	No	0	11
10232	опхлнпяйн	Hotels	Residential	3	11013,23	Medium	Yes	3,3	277
10233	онлнпхе	Hotels	Residential	5	7009,25	Low	Yes	2	43
10234	опхлнпяйн	FSR	Seasonal Low/Mid Traffic	3	20489,25	Medium	Yes	1	0
10235	яхмелнпеж	Hotels	Rural Affordable	6	3695,73	Low	Yes	4	43,96
10236	опхлнпяйн	FSR	Seasonal Low/Mid Traffic	3	14655,42	Medium	Yes	3	0
10237	опхлнпяйн	FSR	Seasonal Low/Mid Traffic	3	18534	Medium	Yes	1,5	472,042
10238	якзмвеб апъц	Cafe	Seasonal High Traffic	2	25690,34	High	Yes	1	61
10239	нагнп	Hotels	Seasonal Low/Mid Traffic	5	12560,53	Medium	Yes	8	1157
10240	онлнпхе	Qsr	Residential	5	18916,4	Medium	No	0	0
10241	юурнонк	FSR	Seasonal Low/Mid Traffic	5	8106,66	Low	Yes	1	44,5
10242	опхлнпяйн	FSR	Residential	10	11271	Medium	Yes	1	0
10243	опхлнпяйн	Cafe	Seasonal Low/Mid Traffic	3	18287,3	Medium	Yes	3,5	0
10244	пюбдю	FSR	Seasonal Low/Mid Traffic	4	15146,67	Medium	Yes	5	732
10245	нагнп	FSR	Seasonal Low/Mid Traffic	5	4900,33	Low	Yes	1	0
10246	яберх бкюя	Hotels	Seasonal Low/Mid Traffic	3	14937,27	Medium	Yes	1	0
10247	якзмвеб апъц	FSR	Seasonal High Traffic	1	31437	High	Yes	2	0
10248	якзмвеб апъц	Hotels	Seasonal Low/Mid Traffic	3	10655,42	Medium	Yes	3	93
10249	якзмвеб апъц	Hotels	Seasonal High Traffic	1	29959,51	High	Yes	0	0
10250	меяеазп	Supermarket	Residential	2	30457	High	Yes	2	175,958
10251	екемхре	Hotels	Seasonal Low/Mid Traffic	4	3316,53	Low	Yes	5,3	0
10252	йньюпхжю	Hotels	Seasonal High Traffic	8	1514	Low	Yes	0,3	0
10253	меяеазп	FSR	Residential	2	36817,4	High	Yes	1	742,5
10254	меяеазп	Supermarket	Seasonal High Traffic	2	27830,92	High	Yes	2	0
10255	меяеазп	Cafe	Residential	2	33841,16	High	Yes	2	113
10256	пюбдю	Cafe	Seasonal Low/Mid Traffic	4	18485,91	Medium	Yes	1,3	0
10257	пюбдю	FSR	Seasonal Low/Mid Traffic	4	11353,15	Medium	Yes	1	0
10258	жюпебн	Qsr	Residential	5	14338,29	Medium	Yes	1	0
10259	меяеазп	FSR	Residential	2	32502	High	Yes	1,7	87,5
10260	янгнонк	Cafe	Residential	4	31289,9	High	Yes	2,5	96
10261	янгнонк	FSR	Residential	4	32781,64	High	Yes	1	0
10262	янгнонк	FSR	Seasonal High Traffic	4	23920,23	Medium	Yes	3	0
10263	йньюпхжю	Cafe	Seasonal High Traffic	8	1132,19	Low	Yes	1	0
10264	яберх бкюя	Cafe	Seasonal Low/Mid Traffic	3	17465,34	Medium	Yes	1	0
10265	опхлнпяйн	FSR	Residential	3	23007,15	Medium	Yes	7,8	0
10266	опхлнпяйн	FSR	Seasonal Low/Mid Traffic	3	18875	Medium	Yes	2	0
10267	янгнонк	Cafe	Residential	4	28627,76	High	Yes	4	1218,332
10268	аюмъ	FSR	Seasonal Low/Mid Traffic	9	12542,67	Medium	Yes	1	150,5
10269	аъкю	Bar	Seasonal Low/Mid Traffic	5	1376,57	Low	Yes	2	41,958
10270	нагнп	Qsr	Seasonal Low/Mid Traffic	5	20788,84	Medium	Yes	2,2	0
10271	йюпмнаюр	Cafe	Residential	6	3298,91	Low	Yes	1	0
10272	аюмъ	Hotels	Seasonal Low/Mid Traffic	9	8753,63	Low	Yes	1	0
10273	аспцюя	FSR	Residential	6	3707,29	Low	Yes	2	130
10274	кнгемеж	Hotels	Seasonal Low/Mid Traffic	7	12666,04	Medium	Yes	0,7	0
10275	йхрем	Hotels	Seasonal Low/Mid Traffic	3	12710,04	Medium	Yes	5,4	187
10276	йхрем	FSR	Seasonal Low/Mid Traffic	3	13095,44	Medium	Yes	8	71
10277	йхрем	Supermarket	Seasonal Low/Mid Traffic	3	19501	Medium	Yes	4,2	546,083
10278	меяеазп	Hotels	Seasonal Low/Mid Traffic	4	11754,15	Medium	Yes	1	28,5
10279	меяеазп	FSR	Seasonal High Traffic	7	25537,08	High	Yes	1,3	0
10280	йхрем	Bar	Seasonal Low/Mid Traffic	3	10885,21	Medium	Yes	1,3	164,958
10281	юуекни	Cafe	Rural Affordable	6	4472,21	Low	Yes	1	0
10282	юуекни	Cafe	Rural Affordable	8	4705,46	Low	Yes	1,8	0
10283	янгнонк	Hotels	Residential	4	28627,76	High	Yes	2	0
10284	меяеазп	Qsr	Residential	2	19440,13	Medium	Yes	2	0
10285	меяеазп	Hotels	Residential	2	23913	Medium	Yes	3	0
10286	пюбдю	Qsr	Seasonal Low/Mid Traffic	4	18649,08	Medium	Yes	1	0
10287	меяеазп	Hotels	Seasonal Low/Mid Traffic	4	12549,38	Medium	Yes	1	47
10288	пегнбн	Hotels	Rural Affordable	10	271,2	Low	Yes	1	22
10289	опхлнпяйн	Bar	Seasonal Low/Mid Traffic	3	17921,89	Medium	Yes	1	0
10290	опхлнпяйн	Bar	Seasonal Low/Mid Traffic	3	18682,05	Medium	No	0	0
10291	опхлнпяйн	Bar	Seasonal Low/Mid Traffic	3	26793,73	High	Yes	0,3	0
10292	йхрем	Qsr	Seasonal Low/Mid Traffic	3	17789,33	Medium	Yes	1	37,5
10293	опхлнпяйн	Hotels	Residential	3	19706,77	Medium	Yes	1	0
10294	опхлнпяйн	Hotels	Residential	3	21085	Medium	Yes	1	123,332
10295	якзмвеб апъц	Supermarket	Seasonal High Traffic	1	30393,6	High	Yes	5	1857,978
10296	якзмвеб апъц	Qsr	Seasonal Low/Mid Traffic	3	17943,17	Medium	Yes	1	0
10297	яберх бкюя	Cafe	Seasonal Low/Mid Traffic	3	15695,86	Medium	Yes	1	110
10298	опхлнпяйн	Qsr	Seasonal Low/Mid Traffic	3	19666,38	Medium	Yes	2,3	0
10299	якзмвеб апъц	Qsr	Seasonal High Traffic	1	23363	Medium	Yes	2	0
10300	якзмвеб апъц	Qsr	Urban High Traffic	1	37293	High	Yes	1	47
10301	янгнонк	Hotels	Residential	4	28627,76	High	Yes	2	0
10302	юяоюпсунбн	FSR	Rural Affordable	7	741	Low	Yes	1	0
10303	кнгемеж	Cafe	Seasonal Low/Mid Traffic	8	8057,65	Low	Yes	3	0
10304	меяеазп	FSR	Residential	2	40120,67	High	Yes	1	0
10305	меяеазп	FSR	Residential	2	40505,08	High	No	0	61
10306	охялемнбн	Hotels	Seasonal Low/Mid Traffic	10	309,92	Low	Yes	1	0
10307	меяеазп	FSR	Seasonal Low/Mid Traffic	4	14459,61	Medium	Yes	2	0
